Station Name,ZIP,Latitude,Longitude,ID
Missouri University of Science and Technology - E3 Commons,65401,37.958953,-91.779289,39096
Clay Cooley Nissan,78745,30.206145,-97.759109,39114
Eversource Energy Park,3101,42.999265,-71.467911,39294
Super 8 - Ukiah,95482,39.1458,-123.198497,39314
KEMET Corp,29681,34.749177,-82.279741,39414
Hotel Floyd,24091,36.910575,-80.31736,39514
Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,23284,37.551409,-77.45233,39574
Virginia Commonwealth University (VCU) - N-Deck Parking Deck,23298,37.543387,-77.42953,39575
Kwik Trip #330,56011,44.62302,-93.756478,39602
Kwik Trip #481,55066,44.567726,-92.624863,39603
Kwik Trip #492,55317,44.842694,-93.53986,39604
Kwik Trip #615,56003,44.17948,-94.036719,39605
Kwik Trip #466,56082,44.314819,-93.963999,39606
Kwik Trip #812,55304,45.218899,-93.310669,39607
Oak Ridge Nissan,37830,36.010279,-84.268049,39705
Newton Nissan South,37160,35.558371,-86.448276,39707
McGavock Nissan - Abilene,79606,32.408909,-99.771463,39708
McGavock Nissan - Amarillo,79119,35.159354,-101.938937,39709
Don Davis Nissan,76018,32.676458,-97.087169,39710
Town North Nissan,78758,30.374542,-97.731445,39711
Baytown Nissan,77521,29.807253,-94.97383365,39712
Mike Smith Nissan,77701,30.062535,-94.133511,39713
Grubbs Nissan,76022,32.839339,-97.160994,39714
Douglass Nissan,77845,30.639201,-96.30671,39715
Ed Hicks Nissan,78415,27.73082,-97.416019,39717
Clay Cooley Nissan,75237,32.646784,-96.863492,39718
Classic Nissan,75020,33.775328,-96.58308,39719
Casa Nissan,79925,31.783928,-106.417267,39720
Viva Nissan,79936,31.724024,-106.302211,39721
Nissan of Fort Worth,76116,32.721585,-97.478539,39723
Texas Nissan of Grapevine,76051,32.928183,-97.09448,39724
Charlie Clark Nissan,78552,26.186259,-97.734663,39725
Baker Nissan North,77065,29.913418,-95.611942,39726
Central Houston Nissan,77054,29.676558,-95.422537,39727
McDavid Nissan,77034,29.625565,-95.22531,39728
Mossy Nissan,77079,29.785494,-95.60022,39729
Tom Peacock Nissan,77090,29.990205,-95.423096,39730
Robbins Nissan,77338,29.990275,-95.275606,39731
Clay Cooley Nissan,75062,32.849437,-96.914294,39732
Katy Nissan,77494,29.775354,-95.817237,39733
Bates Nissan,76543,31.078549,-97.692745,39734
Sames Kingsville Nissan,78363,27.492086,-97.84753,39735
Family Nissan of Laredo,78041,27.528418,-99.458211,39736
Clear Lake Nissan,77573,29.484543,-95.10255,39737
AutoNation Nissan - Lewisville,75067,33.022937,-96.988337,39738
Patterson Nissan - Longview,75605,32.553772,-94.727241,39739
McGavock Nissan,79424,33.535048,-101.958266,39740
Nissan of McKinney,75069,33.161606,-96.644662,39741
Trophy Nissan,75150,32.829838,-96.629967,39742
Nissan of Midland,79707,32.024113,-102.151567,39743
Twin City Nissan,77640,29.953433,-94.0071,39745
Courtesy Nissan,75080,32.97135,-96.719803,39746
Gillman Nissan,77471,29.534537,-95.772812,39747
Round Rock Nissan,78681,30.54205,-97.69265,39748
Jim Bass Nissan,76901,31.44646,-100.496244,39749
Ancira Nissan,78230,29.543147,-98.57544,39750
Gunn Nissan,78209,29.517253,-98.467365,39751
Ingram Park Nissan,78238,29.457047,-98.625324,39752
World Car Nissan,78233,29.556508,-98.34469,39753
Nissan of San Marcos,78666,30.4963137,-97.6809454,39754
Nissan of Silsbee,77656,30.314894,-94.18396,39755
Sterling McCall Nissan,77477,29.645808,-95.57612,39756
Garlyn Shelton Nissan,76502,31.079653,-97.410328,39757
Peltier Nissan,75701,32.31165413,-95.34249986,39758
Victory Nissan,77904,28.851423,-96.997881,39759
Douglas Nissan,76712,31.495348,-97.160226,39760
Southwest Nissan,76087,32.7561,-97.705239,39761
Nissan of Wichita Falls,76309,33.88049,-98.545953,39762
Passport Nissan - Alexandria,22304,38.809675,-77.122192,39763
Priority Nissan - Chantilly,20151,38.899751,-77.460168,39764
Colonial Nissan,22901,38.086121,-78.474663,39765
Brown's Fairfax Nissan,22030,38.85358,-77.324803,39766
Pomoco Nissan - Hampton,23666,37.042363,-76.388316,39768
Sheehy Nissan - Manassas,20110,38.760854,-77.459274,39769
Shell - YESS! Convenience 4U,23805,37.175139,-77.352948,39770
SCIENCE MUSEUM SCIENCE MUSEUM1,23220,37.561646,-77.465974,39771
First Team Nissan,24019,37.345779,-79.962578,39772
Brown's Dulles Nissan,20166,39.010459,-77.438399,39773
Priority Nissan,22182,38.927033,-77.240836,39774
Tri-State Nissan,22602,39.156514,-78.147297,39775
Rairdon's Nissan - Auburn,98002,47.338754,-122.221114,39776
Bellingham Nissan,98229,48.755607,-122.454132,39778
Advantage Nissan,98312,47.562162,-122.684286,39779
Burien Nissan,98148,47.458466,-122.333257,39780
Campbell-Nelson Nissan,98026,47.778229,-122.344838,39782
Campbell Nissan - Everett,98204,47.90272982,-122.2469884,39783
Olympia Nissan,98502,47.031067,-122.930247,39786
Bill Robertson Nissan,99301,46.236607,-119.128998,39787
Dan Wilder Nissan,98362,48.102863,-123.342273,39788
Puyallup Nissan,98371,47.207367,-122.294997,39789
Younker Nissan,98058,47.448354,-122.2188,39791
Wendle Nissan,99218,47.739021,-117.409937,39795
Dave Smith Nissan - Spokane,99212,47.657264,-117.312518,39796
Tacoma Nissan,98409,47.21978,-122.48576,39797
Alan Webb Nissan,98662,45.648094,-122.597954,39798
O'Brien Nissan,99362,46.047464,-118.353406,39799
Mountain View Nissan,37408,35.030251,-85.308376,39802
Harold Mathews Nissan,37043,36.513006,-87.268667,39803
Cookeville Nissan,38501,36.137109,-85.496453,39805
Victory Nissan West,37055,36.023934,-87.340223,39806
Rick Hill Nissan,38024,36.063277,-89.379485,39807
Nissan of Cool Springs,37067,35.957857,-86.80853,39808
Newton Nissan of Gallatin,37066,36.361376,-86.494932,39809
